date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients,icu_patients_per_million,stringency_index,reproduction_rate,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,year,month,day,country_South Korea,code_KOR,continent_Asia
2021-04-28,121338.0,2343.2253,1821.0,35.16634,160.0,3.088,58.33,0.9667,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,28,True,True,True
2021-04-29,121999.0,2355.9902,1828.0,35.30152,157.0,3.03,58.33,0.9486,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,29,True,True,True
2021-04-30,122626.0,2368.0986,1831.0,35.359455,164.0,3.165,58.33,0.9367,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,4,30,True,True,True
2021-05-01,123232.0,2379.8013,1833.0,35.39808,174.0,3.358,58.33,0.9531,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,1,True,True,True
2021-05-02,123720.0,2389.2253,1834.0,35.41739,170.0,3.281,58.33,0.9568,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,2,True,True,True
2021-05-03,124261.0,2399.6729,1840.0,35.53326,164.0,3.165,52.78,0.9585,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,3,True,True,True
2021-05-04,124937.0,2412.7275,1847.0,35.668438,162.0,3.126,52.78,0.9323,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,4,True,True,True
2021-05-05,125511.0,2423.8125,1851.0,35.745686,173.0,3.339,52.78,0.9008,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,5,True,True,True
2021-05-06,126036.0,2433.951,1860.0,35.91949,172.0,3.319,50.0,0.909,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,6,True,True,True
2021-05-07,126737.0,2447.4883,1865.0,36.01605,162.0,3.126,50.0,0.9719,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,7,True,True,True
2021-05-08,127301.0,2458.3801,1874.0,36.18985,165.0,3.184,50.0,0.9791,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,8,True,True,True
2021-05-09,127764.0,2467.3213,1875.0,36.209164,160.0,3.088,50.0,0.9802,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,9,True,True,True
2021-05-10,128274.0,2477.1702,1879.0,36.286407,161.0,3.107,50.0,1.0001,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,10,True,True,True
2021-05-11,128908.0,2489.4138,1884.0,36.382965,171.0,3.3,50.0,1.0167,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,11,True,True,True
2021-05-12,129623.0,2503.2214,1891.0,36.518147,167.0,3.223,50.0,1.0664,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,12,True,True,True
2021-05-13,130370.0,2517.6472,1893.0,36.55677,160.0,3.088,50.0,1.0889,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,13,True,True,True
2021-05-14,131051.0,2530.7983,1896.0,36.614704,153.0,2.953,50.0,1.0597,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,14,True,True,True
2021-05-15,131661.0,2542.5784,1900.0,36.69195,150.0,2.895,50.0,1.056,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,15,True,True,True
2021-05-16,132280.0,2554.5322,1903.0,36.749886,150.0,2.895,50.0,1.0563,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,16,True,True,True
2021-05-17,132808.0,2564.7288,1904.0,36.7692,151.0,2.914,50.0,1.0057,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,17,True,True,True
2021-05-18,133462.0,2577.3586,1912.0,36.92369,156.0,3.011,50.0,0.9593,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,18,True,True,True
2021-05-19,134108.0,2589.8337,1916.0,37.00094,148.0,2.856,50.0,0.9418,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,19,True,True,True
2021-05-20,134669.0,2600.6677,1922.0,37.116806,151.0,2.914,50.0,0.9337,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,20,True,True,True
2021-05-21,135335.0,2613.529,1926.0,37.194054,147.0,2.837,50.0,0.9745,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,21,True,True,True
2021-05-22,135920.0,2624.8264,1931.0,37.29061,150.0,2.895,50.0,0.9998,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,22,True,True,True
2021-05-23,136458.0,2635.216,1934.0,37.348545,149.0,2.876,50.0,1.0083,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,23,True,True,True
2021-05-24,136974.0,2645.1807,1938.0,37.42579,144.0,2.779,50.0,0.9977,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,24,True,True,True
2021-05-25,137679.0,2658.7954,1940.0,37.464413,160.0,3.088,50.0,0.9782,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,25,True,True,True
2021-05-26,138308.0,2670.9424,1943.0,37.52235,151.0,2.914,50.0,0.937,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,26,True,True,True
2021-05-27,138895.0,2682.2783,1946.0,37.580284,154.0,2.972,50.0,0.9079,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,27,True,True,True
2021-05-28,139428.0,2692.5713,1951.0,37.67684,156.0,3.011,50.0,0.886,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,28,True,True,True
2021-05-29,139908.0,2701.8408,1957.0,37.79271,160.0,3.088,50.0,0.9093,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,29,True,True,True
2021-05-30,140338.0,2710.1448,1959.0,37.831333,150.0,2.895,50.0,0.9434,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,30,True,True,True
2021-05-31,140797.0,2719.0088,1963.0,37.90858,149.0,2.876,50.0,0.9897,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,5,31,True,True,True
2021-06-01,141474.0,2732.0828,1965.0,37.947205,158.0,3.049,50.0,1.0347,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,1,True,True,True
2021-06-02,142155.0,2745.234,1968.0,38.00514,151.0,2.914,50.0,1.0677,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,2,True,True,True
2021-06-03,142850.0,2758.6555,1969.0,38.02445,149.0,2.876,50.0,1.0884,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,3,True,True,True
2021-06-04,143594.0,2773.0232,1971.0,38.063072,151.0,2.914,50.0,1.0803,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,4,True,True,True
2021-06-05,144150.0,2783.7605,1973.0,38.101696,151.0,2.914,50.0,1.0288,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,5,True,True,True
2021-06-06,144635.0,2793.1265,1974.0,38.121006,150.0,2.895,50.0,0.9884,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,6,True,True,True
2021-06-07,145089.0,2801.894,1975.0,38.14032,152.0,2.933,50.0,0.9492,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,7,True,True,True
2021-06-08,145691.0,2813.5195,1977.0,38.17894,149.0,2.876,50.0,0.918,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,8,True,True,True
2021-06-09,146301.0,2825.2996,1979.0,38.217564,146.0,2.818,50.0,0.9134,51782473,530.55810546875,43.94400024414063,82.72699737548828,45560.125,0.2487649172544479,6.800000190734863,12.43000030517578,2021,6,9,True,True,True
